Rank,Contractor,TotalCost,NumProjects,AvgDelay,TotalSavings,ReliabilityIndex,RiskFlag
184,J.G. GARCIA CONSTRUCTION & SUPPLY (FOR: J.G. GARCIA CONST.),466984333.48,14,225.21,4357220.18,0.00,High Risk
185,KLDS TRADING & CONSTRUCTION,461799932.08,7,381.86,2659904.68,0.00,High Risk
186,LABB CONSTRUCTION DEVELOPMENT INC. (FORMERLY: LABB CONSTRUCTION),461716066.08,8,337.25,1015564.96,0.00,High Risk
187,I.A . BOSQUE CONSTRUCTION CORPORATION,455639995.57,9,313.33,-60.06,0.00,High Risk
188,"SKYLINE CONSTRUCTION, EQUIPMENT AND DEVELOPMENT CORPORATION(FORMERLY: EDDIE G. GUILLEN BUILDERS INC.",452150800.00,9,317.11,3000000.00,0.00,High Risk
189,PRIME PACIFIC MARINE & INDUSTRIAL SERVICES CORP.,450650223.88,5,514.40,819552.50,0.00,High Risk
190,M.T. MALIUANAG CONSTRUCTION SERVICES,443682064.00,6,205.17,1117936.00,0.00,High Risk
191,MORTAR MASTERS & CONCRETE BUILDERS,441772069.18,10,557.90,7741561.69,0.00,High Risk
192,3DIAMONDS CONSTRUCTION CORPORATION,441377521.39,9,200.33,103069948.94,0.00,High Risk
193,CDC CONSTRUCTION & SUPPLIES,441318045.94,8,172.88,-409357.02,0.09,High Risk
194,RAMISES CONSTRUCTION,438635945.55,7,313.14,4660234.45,0.00,High Risk
195,ROCK-WBL CONSTRUCTION CORP. (FOR: ROCK-WBL CONSTRUCTION TRADING & SERVICES),435956367.88,7,213.71,-581662.00,0.18,High Risk
196,KENNETH CONSTRUCTION AND GENERAL MERCHANDISE,434267504.76,9,296.78,387076.25,0.00,High Risk
197,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION) / MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,430761415.08,8,256.88,0.00,-0.00,High Risk
198,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION) / M.K.U. CONSTRUCTION AND SUPPLY,429425000.00,5,319.80,0.00,-0.00,High Risk
199,C.V. CONSTRUCTION & DEVELOPMENT,426703579.41,7,251.00,1496420.59,0.00,High Risk
200,JGO BUILDERS,415916316.77,8,289.12,2454743.13,0.00,High Risk
201,R.T.Y. CONSTRUCTION,415617178.35,6,266.17,303698.05,0.00,High Risk
202,MAMSAR CONSTRUCTION AND INDUSTRIAL CORPORATION,413799388.40,9,382.56,5650517.80,0.00,High Risk
203,KATHA BUILDERS & SUPPLIES INC.,413466601.75,6,240.50,4632217.83,0.00,High Risk
204,SILVER DRAGON CONSTRUCTION & LUMBER & GLASS SUPPLY INC.,409314613.07,9,328.11,2342625.17,0.00,High Risk
205,"TOUGHBUILT CONSTRUCTION & TRADING, INC.",409069946.58,12,278.00,9629529.80,0.00,High Risk
206,MINDANAO ROCK,408615359.23,9,428.11,14285020.77,0.00,High Risk
207,GACUTAN CONSTRUCTION INC. (FORMERLY: GACUTAN CONSTRUCTION),406047226.26,5,118.20,2773.74,0.00,High Risk
208,EDDMARI CONSTRUCTION & TRADING,405568236.95,6,235.83,21131763.05,0.00,High Risk
209,PABLO S. LABASBAS CONSTRUCTION CORPORATION (FORMERLY: PABLOS. LABASBAS CONSTRUCTION CORPORATION),402563910.72,10,257.70,693111.77,0.00,High Risk
210,TCSC CORP. / EFREN RAMIREZ CONSTRUCTION AND GENERAL SERVICES CORPORATION,401849939.78,7,423.00,-785.00,0.00,High Risk
211,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,400508326.00,6,323.33,191653.00,0.00,High Risk
212,ARCINUE COMM'L CORPORATION,399987826.25,5,292.20,-248399.08,0.14,High Risk
213,DJCM CONSTRUCTION CORPORATION (FORMERLY: DJCM CONSTRUCTION),399448581.22,9,180.00,2400096.13,0.00,High Risk
214,"A.L. SALAZAR CONSTRUCTION, INC. / ROTAFLEX CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY:ROTA FLEX CONSTRUCTION)",397089557.36,6,335.50,5877506.38,0.00,High Risk
215,MRB11 CONSTRUCTION CORPORATION (FORMERLY:MRB CONS,395989932.23,7,250.86,7840787.89,0.00,High Risk
216,ARQ BUILDERS,390961635.26,7,303.29,15530864.74,0.00,High Risk
217,O. G. SANTOS CONSTRUCTION,389288928.11,7,317.00,179729.89,0.00,High Risk
218,"TIBIAO-ANTIQUE N.K. ENTERPRISE, INC.",386612066.20,10,350.70,32727923.80,0.00,High Risk
219,JUSTBILT BUILDERS,385150271.11,7,235.57,6738432.75,0.00,High Risk
220,STAR WILLIAM CONSTRUCTION,383751875.75,8,249.88,998114.83,0.00,High Risk
221,TKS BUILDERS & SUPPLIES,381476672.98,5,277.80,2547327.02,0.00,High Risk
222,F & J GENERAL CONSTRUCTION AND SUPPLY CORPORATION,381028088.96,9,375.22,45456911.04,0.00,High Risk
223,"AL-JON CONSTRUCTION DEVELOPMENT, INC. (FORMERLY: ALJON CONSTRUCTION & SUPPLY)",381004295.35,11,249.18,2035758.75,0.00,High Risk
224,DEVEX INCORPORATED / N.B. AVILA CONSTRUCTION,380604644.09,7,243.14,244610.20,0.00,High Risk
225,SPRING STAR CONSTRUCTION AND SUPPLY,376606744.34,9,212.89,2585966.13,0.00,High Risk
226,ALRO CONSTRUCTION & DEVELOPMENT CORP.,372224334.42,8,262.62,2046243.93,0.00,High Risk
227,"WOODLAND CONSTRUCTION & SUPPLY, INC.",367792634.50,7,458.43,499953.88,0.00,High Risk
228,MAER SUMMIT KONSTRUKT CO.,367752282.32,7,253.57,20947717.68,0.00,High Risk
229,E.L. TORRES CONSTRUCTION AND TRADING INC. (FORMERLY : E. L. TORRES CONSTRUCTION & TRADING,366699719.41,13,314.54,6184344.23,0.00,High Risk
230,DOUBLE 12 CONSTRUCTION & SUPPLY,365089067.94,7,204.86,5190878.31,0.00,High Risk
231,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC. / CHEEREL CONSTRUCTION & SUPPLY,363257999.12,5,304.60,85645923.06,0.00,High Risk
232,ALPHA RYDER CONSTRUCTION & SUPPLIES,362835678.50,7,199.14,3473421.40,0.00,High Risk
233,"J.M. LUCIANO CONSTRUCTION, INC.",362619239.83,5,339.60,5760.17,0.00,High Risk
234,HONY TRADING & CONSTRUCTION,360866168.69,6,200.67,14602538.60,0.00,High Risk
235,M.M.A. ACHIEVER CONSTRUCTION & DEVELOPMENT CORP.,359796841.33,5,236.00,6903158.67,0.00,High Risk
236,LONG ISLAND BUILDERS & CONSTRUCTION,359483973.24,8,225.38,2211954.45,0.00,High Risk
237,TRICHES CONSTRUCTION & TRADING / FRAMECON BUILDERS,352705807.66,5,233.60,1157489.01,0.00,High Risk
238,YZK BUILDERS,352281668.73,10,156.60,2426130.18,0.00,High Risk
239,TWO DIMENSION CONSTRUCTION,350219766.26,7,249.86,2969199.04,0.00,High Risk
240,DALCON CONSTRUCTION,348330401.52,9,184.78,1598.48,0.00,High Risk
241,R2A CONSTRUCTION & TRADING CORPORATION,347890813.26,6,294.67,6093.93,0.00,High Risk
242,SPECO BUILDERS INC. (FORMERLY VRF CONSTRUCTION),342415222.15,5,136.20,2584777.85,0.00,High Risk
243,J.H.R. ENTERPRISES,341698618.32,7,194.14,9110801.02,0.00,High Risk
244,ESR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: ESR CONSTRUCTION & SUPPLIES),337173965.39,6,374.50,35584148.93,0.00,High Risk
245,R.A. MENDIOLA CONSTRUCTION & DEVELOPER,335050000.00,6,360.50,-251100.78,0.23,High Risk
246,RADIANS BUILDERS AND SUPPLY CORPORATION,334493809.81,12,155.42,319026.39,0.00,High Risk
247,WEARR ENTERPRISES & DEVELOPMENT CORP.,333064912.81,5,249.60,44099934.69,0.00,High Risk
248,JB CONSTRUCTION AND SUPPLY INC. (FORMERLY:JB CONSTRUCTION AND SUPPLY),325797542.71,9,136.44,1044841.56,0.00,High Risk
249,HIGH STRENGTH DEV. CORPORATION,318237383.82,5,164.60,5976701.45,0.00,High Risk
250,RAIK CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: RAIK CONSTRUCTION AND SUPPLY),313054618.26,7,194.57,1279620.76,0.00,High Risk
251,REYDAN BUILDERS,311333210.79,7,188.00,24566789.21,0.00,High Risk
252,ROCKSTEEL CONSTRUCTION AND DEV'T CORPORATION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),308339989.34,5,274.60,5.69,0.00,High Risk
253,VSP STRUCTURE VENTURES CORP. (FORMERLY: VIRLO CONSTRUCTION),307665493.85,6,179.83,287251.15,0.00,High Risk
254,"BADOC BUILDERS & SUPPLY, INC. (FORMERLY: BADOC BUILDER & SUPPLY",304499483.91,9,150.78,162.40,0.00,High Risk
255,JCA CONSTRUCTION AND CONSTRUCTION SUPPLY,302855696.83,7,255.29,176765.75,0.00,High Risk
256,BOOMETRIX DEVELOPMENT CORP.,299221468.23,5,339.60,18903531.77,0.00,High Risk
257,ARROW CONSTRUCTION,293636898.64,8,169.12,65354.29,0.00,High Risk
258,R.A.G. CORONA CONSTRUCTION AND AGGREGATES SUPPLY,290613487.17,8,234.12,13779.95,0.00,High Risk
259,EQUALYZ TRADING,289800000.00,5,176.20,0.00,-0.00,High Risk
260,R.M. VITUG CONSTRUCTION,276774773.38,10,123.80,292397.17,0.00,High Risk
261,"AJAN JEADA, INC. (FORMERLY: JEADA CONSTRUCTION)",275391967.22,5,174.20,633.63,0.00,High Risk
262,SUNRISE BUILDERS,274342630.48,15,167.20,4949174.94,0.00,High Risk
263,MCB ZAMORA CONSTRUCTION & SUPPLY,272234272.76,5,167.20,43473.63,0.00,High Risk
264,TUCHAR CONSTRUCTION CORP. (FORMERLY:TUCHAR CONSTRU,268439972.05,7,230.71,17015819.17,0.00,High Risk
265,S.T. SALCEDO CONSTRUCTION CORP.(FORMERLY: SHAK CONSTRUCTION & SUPPLY),265137809.26,6,358.33,853158.24,0.00,High Risk
266,SHEEN-SHEEN CONSTRUCTION CORPORATION (FORMERLY: SHEEN-SHEEN CONSTRUCTION),264045553.30,7,281.57,4853774.09,0.00,High Risk
267,"REDSON CONSTRUCTION AND SUPPLIES, INC. (FORMERLY: REDSON CONSTRUCTION AND SUPPLIES)",262457789.30,7,202.71,12083.84,0.00,High Risk
268,ELITE GENERAL CONTRACTOR AND DEVELOPMENT CORP.,258461194.16,5,174.60,4620484.18,0.00,High Risk
269,DIADEMA CONSTRUCTION AND ENTERPRISES INC. (FORMERLY: DIADEMA ENTERPRISES),255262715.99,6,251.83,5222131.34,0.00,High Risk
270,J.M. LACORTE CONSTRUCTION,254278185.87,5,372.20,1814.13,0.00,High Risk
271,THREE-IN-ONE CONSTRUCTION & TRADING,253641902.30,8,158.25,1535180.49,0.00,High Risk
272,NORTH TECH BUILDERS AND CONSTRUCTION SUPPLY,247861609.69,5,258.20,6038262.00,0.00,High Risk
273,SIXTEEN ENTERPRISES-CALAPAN BRANCH,245053004.97,7,285.86,49851031.19,0.00,High Risk
274,888 ACY ENTERPRISES,244999882.57,5,234.60,-45571.66,0.03,High Risk
275,M.K.U. CONSTRUCTION AND SUPPLY,244319000.00,6,265.33,255831.63,0.00,High Risk
276,HIGH STRENGTH DEV. CORPORATION / T2B3 BUILDERS AND SUPPLIES CORP.,243736497.30,5,222.60,47184.90,0.00,High Risk
277,ALBERTO UY CONSTRUCTION & DEVELOPMENT,243594525.87,5,291.60,1404801.09,0.00,High Risk
278,BETTER WORK CONSTRUCTION,239396906.14,7,165.43,54031093.86,0.00,High Risk
279,SISBRO CONSTRUCTION CORPORATION (FORMERLY: SISBRO CONSTRUCTION & SUPPLY) / 3RB CONSTRUCTION & SUPPLY,239074043.26,5,143.60,4902179.11,0.00,High Risk
280,128 DRAGON CONSTRUCTION AND SUPPLIES,238941065.77,15,142.67,4096092.26,0.00,High Risk
281,BELL CONSTRUCTION,236553797.15,7,241.86,5914104.44,0.00,High Risk
282,C N E CONSTRUCTION,232666437.66,5,253.00,2787312.34,0.00,High Risk
283,MRRM TRADING & CONSTRUCTION,230724535.44,5,206.40,33955.79,0.00,High Risk
284,RIVBROS CONSTRUCTION FACTORS & DEVELOPMENT,230623766.47,6,212.17,3826233.53,0.00,High Risk
285,CMG JR. BUILDERS,225397772.95,5,270.20,1368.23,0.00,High Risk
286,WAY MAKER GENERAL CONTRACTOR OPC,219778956.03,11,192.64,4928051.43,0.00,High Risk
287,"ROVING PREMIER CONTRACTORS, INC.",217850723.19,9,128.33,2287817.21,0.00,High Risk
288,R.D. SADSAD CONSTRUCTION & TRADING,215986362.67,6,165.17,106254.61,0.00,High Risk
289,R.A. MATIAS CONSTRUCTION AND DEVELOPERS INC. (FORMERLY : R.A. MATIAS CONSTRUCTION AND DEVELOPERS),215960460.04,6,188.33,4539539.96,0.00,High Risk
290,CS CONST. AND SUPPLY INC. (FORMERLY: CS CONSTRUCTION AND SUPPLY) / GIBUILD DEVELOPMENT CORP.,215344410.19,5,353.40,1322941.52,0.00,High Risk
291,J.E.L. CONSTRUCTION & SUPPLY,212851529.38,6,224.50,7548470.62,0.00,High Risk
292,JUCONS CONSTRUCTION OPC (FORMERLY:JUCONS CONSTRUCTION &SUPPLY),212632202.22,5,242.00,3455.08,0.00,High Risk
293,EL-JAKE BUILDERS,212511974.99,7,304.86,8567030.68,0.00,High Risk
294,PRECIOUS CONSTRUCTION,212233138.15,5,225.20,1502123.18,0.00,High Risk
295,CEDAR CONSTRUCTION,209988865.85,6,158.33,1158115.61,0.00,High Risk
296,BNYU DEVELOPMENT CORPORATION (FORMERLY:BNYU ENTERPRISES & CONSTRUCTION),207179604.67,5,316.20,1723835.33,0.00,High Risk
297,A.D. MARRERO GENERAL CONSTRUCTION,206287215.91,5,161.60,-487810.92,0.19,High Risk
298,A.V. LAYNES TRADING AND CONSTRUCTION,206094777.98,6,192.00,2741.87,0.00,High Risk
299,JLL PULSAR CONSTRUCTION CORPORATION (FORMERLY: PULSAR CONSTRUCTION),199915591.01,5,480.80,2034408.99,0.00,High Risk
300,JEUSMACK BUILDERS & CONSTRUCTION SUPPLY,199422255.60,12,72.75,1727744.40,0.17,High Risk
301,"B. BERNARDO CONST., INC.",195209951.46,5,232.60,4772032.28,0.00,High Risk
302,"DSB CONSTRUCTION & SUPPLY, INC. (FORMERLY: DSB CO",194347819.15,5,200.20,152180092.51,0.00,High Risk
303,BJMJB CONSTRUCTION & SUPPLY,180616032.92,11,124.55,1032187.68,0.00,High Risk
304,NQA CONSTRUCTION & SUPPLY,178961193.59,6,196.00,967564.21,0.00,High Risk
305,BHM CONSTRUCTION,175546138.76,9,308.00,3621596.57,0.00,High Risk
306,ARROWHEAD CONSTRUCTION,174579247.48,6,158.00,1799779.21,0.00,High Risk
307,ELKANKONSTRAK DEVELOPMENT CORPORATION,173470901.45,5,216.40,1090792.13,0.00,High Risk
308,SONPRO CONSTRUCTION,167795817.51,10,274.30,4003597.42,0.00,High Risk
309,RED DIAMOND CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY: RED DIAMOND CONSTRUCTION),165885622.50,5,132.20,348255.23,0.00,High Risk
310,RPF CONSTRUCTION,164118595.09,6,338.17,6481404.91,0.00,High Risk
311,JQD CONSTRUCTION & GENERAL SERVICES,161822287.35,5,366.20,127712.65,0.00,High Risk
312,GENETIAN BUILDERS AND ENTERPRISES INCORPORATED (FORMERLY: GENETIAN BUILDERS),161530133.02,5,459.80,17319866.98,0.00,High Risk
313,RVR3 CONSTRUCTION SUPPLY AND SERVICES,160562435.72,5,213.00,4407.76,0.00,High Risk
314,HOMEWORLD CONSTRUCTION CORP. (FORMERLY HOMEWORLD E,159740000.00,6,309.83,0.00,-0.00,High Risk
315,AL-B DEVELOPMENT CORPORATION,157559705.97,5,128.80,1123668.20,0.00,High Risk
316,RS RODRIGUEZ CONSTRUCTION & SUPPLIES,156406337.48,6,233.33,393662.52,0.00,High Risk
317,NES-SAN BUILDERS,156380375.27,6,190.33,4168481.85,0.00,High Risk
318,G.F. ROVERO MERCHANDISING,151921103.47,8,201.38,426896.53,0.00,High Risk
319,MIGHTYWAY CONSTRUCTION AND SUPPLY,151849863.48,9,158.89,250136.52,0.00,High Risk
320,CAMBERWELL CONSTRUCTION AND SUPPLIES,149862290.58,5,170.40,1528645.39,0.00,High Risk
321,AL-REM KONSTRUCT INC.,147279989.56,7,266.86,-301564.56,0.40,High Risk
322,E.E. MADAYAG CONSTRUCTION,144036895.04,8,257.88,1203063.60,0.00,High Risk
323,5-1 CONSTRUCTION CORPORATION,143557676.37,7,190.57,730267.32,0.00,High Risk
324,"C.E.M. CONSTRUCTION, INC.",142735117.65,6,175.83,4764550.31,0.00,High Risk
325,JMK BUILDERS CONSTRUCTION,139768922.71,6,221.67,2730181.63,0.00,High Risk
326,G.T.J. CONSTRUCTION,138047225.12,6,253.67,230774.86,0.00,High Risk
327,CHUCON BUILDERS CORPORATION (FORMERLY: CHU CONSTRUCTION),131121760.97,5,162.80,1065381.57,0.00,High Risk
328,2-R CONSTRUCTION SUPPLY,129951736.10,7,198.71,1508263.90,0.00,High Risk
329,ROTAFLEX CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY:ROTA FLEX CONSTRUCTION),127892968.91,5,273.00,2455418.59,0.00,High Risk
330,SJ MILLENNIUM CONSTRUCTION AND CONSTRUCTION SUPPLY CORPORATION,127400000.00,5,216.60,0.00,-0.00,High Risk
331,EL KAPITAN CONSTRUCTION SERVICES,127140522.97,7,180.00,927591.78,0.00,High Risk
332,ALEXI LOUISSE CONSTRUCTION & GENERAL MERCHANDISE,122201082.94,5,287.60,298917.06,0.00,High Risk
333,HIGH ROCK CONSTRUCTION AND SUPPLIES INCORPORATED,121799151.23,8,49.75,850848.77,0.31,High Risk
334,RNN CONSTRUCTION CORPORATION (FORMERLY RNN CONSTRU,120491132.45,7,230.14,34631.50,0.00,High Risk
335,APS CONSTRUCTION,119103544.64,5,296.40,506455.36,0.00,High Risk
336,"AGONG BUILDERS AND CONSTRUCTION SUPPLY, INC.",118828686.69,9,195.33,1012.91,0.00,High Risk
337,RCD GEN. CONTRACTOR & CONSTRUCTION SUPPLY,117659004.63,6,115.83,370301.34,0.00,High Risk
338,MURIELEVEN BUILDERS AND CONSTRUCTION SUPPLY CORP.,117600000.00,6,240.17,0.00,-0.00,High Risk
339,1HB CONSTRUCTION CORP. (FORMERLY: HB CONSTRUCTION),109622501.84,7,161.71,2823161.65,0.00,High Risk
340,TBB CONSTRUCTION CORP.,107679016.52,6,191.00,1198685.93,0.00,High Risk
341,JORMAND CONSTRUCTION & SUPPLY,105460000.00,5,144.40,91818534.83,0.00,High Risk
342,R.B. PANO CONSTRUCTION CORP. (FORMERLY: R.B. PANO CONSTRUCTION AND SUPPLY),103450000.00,5,269.00,0.00,-0.00,High Risk
343,BANGYAN 3D CONSTRUCTION,102633589.29,6,306.67,260787.17,0.00,High Risk
344,KAUIE BUILDERS & SUPPLIES INC. (FORMERLY: KAUIE BUILDERS AND CONSTRUCTION SUPPLIES),101790137.99,7,167.71,2321750.07,0.00,High Risk
345,SAN SEBASTIAN CONSTRUCTION,97483165.87,5,149.60,17260.24,0.00,High Risk
346,DATZLAV CONSTRUCTION,97116938.86,5,182.20,983061.14,0.00,High Risk
347,ZEDIK BUILDERS,94617445.72,7,130.43,715.00,0.00,High Risk
348,TM ABAD CONSTRUCTION CORP. (FOR: TM ABAD CONST.),92170451.30,5,218.60,2857041.13,0.00,High Risk
349,KEJAMARENIK CONSTRUCTION & CONSTRUCTION SUPPLIES,90365504.54,5,138.60,13562495.45,0.00,High Risk
350,MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,87884440.00,5,200.60,0.00,-0.00,High Risk
351,QUATRIX CONSTRUCTION AND SUPPLY INC.,85397128.07,5,169.40,-137131.37,0.14,High Risk
352,D.M. MALIWANAG BUILDERS AND ENTERPRISES,84420244.16,5,172.40,517014.29,0.00,High Risk
353,ALHADRAX CONSTRUCTION AND SUPPLY,77434508.55,5,153.80,35735475.85,0.00,High Risk
354,MRK-SQUARE CONSTRUCTION AND SUPPLY,77075895.62,5,363.40,1324104.38,0.00,High Risk
355,ALEXA TRADING & CONSTRUCTION,69170788.91,6,237.67,1389211.09,0.00,High Risk
356,GOLDEN ROADRUNNER INTERNATIONAL CORP.,68203570.06,6,203.17,646429.94,0.00,High Risk
357,LUCKY EIGHTY-THREE CONSTRUCTION AND SUPPLY(FOR.VRP,68181300.00,13,111.31,2108700.00,0.00,High Risk
358,JEDIDIAH CONSTRUCTION,67741963.32,5,192.20,7088036.67,0.00,High Risk
359,MG CONSTRUCTION,63800000.00,5,219.40,0.00,-0.00,High Risk
360,816 EMBER CONSTRUCTION CORPORATION,61276645.34,6,183.50,1972678.28,0.00,High Risk
361,M.V. SABALBURO CONSTRUCTION AND SUPPLY,60956544.98,5,276.20,13523455.02,0.00,High Risk
362,GRECO CONSTRUCTION AND SUPPLY,58009787.46,5,221.60,890212.54,0.00,High Risk
363,RADIANCE TRADERS & BUILDERS,55382254.32,5,209.40,1677745.68,0.00,High Risk
364,KENBE CONSTRUCTION & SUPPLY,41376978.26,5,188.80,4006.84,0.00,High Risk
365,MAC BUILDERS CIVIL ENGINEERING CONSTRUCTION,38114565.55,6,132.83,805317.07,0.00,High Risk
366,TWO DEGREES CONSTRUCTION AND SUPPLY,37234062.90,7,118.00,205865.16,0.00,High Risk
367,REMAR CONSTRUCTION,37049067.78,7,148.29,36606.75,0.00,High Risk
368,830 BUILDERS & DEVELOPERS CORP.,34138650.00,5,100.40,1006350.00,0.00,High Risk
369,RD5 CONSTRUCTION,31083133.00,6,64.00,409374.88,0.38,High Risk
370,SONBLESSED CONSTRUCTION AND SUPPLY,29111705.39,5,207.80,1268294.61,0.00,High Risk
371,INFRASERVE BUILDERS AND SUPPLIES,28932570.20,5,105.60,694219.09,0.00,High Risk
372,MEGA-ANT BUILDERS AND CONSTRUCTION SUPPLIES,24342613.84,5,69.80,406544.05,0.37,High Risk
373,MATAGOAN KJ BUILDERS AND ENGINEERING SERVICES,23804418.28,5,264.00,1724580.72,0.00,High Risk
